insufficiency:NN	অপর্যাপ্ততা
consuming:NN	খাওয়া
edible:NN	ভক্ষ্য
inedible:JJ	অখাদ্য
asshole:NN	চরম গর্দভ
such:JJ	এ ধরনের
such:JJ	এই রকম
shaded:JJ	প্রচ্ছায়িত
e-mail:NN	ইমেল
earthbound:JJ	পৃথিবী অভিমুখী
wikimedia:NN	উইকিমিডিয়া
wikimedia.foundation:NP	উইকিমিডিয়া ফাউন্ডেশন
trademark:NN	ট্রেডমার্ক
colon:NN	কোলন
mediawiki:NP	মিডিয়াউইকি
prefix:NN	উপসর্গ
encyclopedia:NP	বিশ্বকোষ
namespace:NN	নামস্থান
rift:NN	ফাটল
politician:NN	রাজনীতিবিদ
politician:NN	রাজনীতিবিদ
department:NN	দপ্তর
community:NN	সম্প্রদায়
new.insights:NNS	নতুন পরিজ্ঞান
insight:NN	পরিজ্ঞান
skills:NNS	দক্ষতা
tidbit:NN	জনশ্রুতির মুখোরচক অংশ
prowess:NN	দক্ষতা
cute:JJ	সুন্দর
thesis:NN	গবেষণা নথি
serene:JJ	প্রশান্ত
infinite.mercy:NN	অসীম দয়া
promise:NN	প্রতিশ্রুতি
sincere.faith:NN	আন্তরিক বিশ্বাস
eternal.life:NN	অনন্ত জীবন
salvation:NN	উদ্ধার
hesitate:VV	ইতস্ততঃ করা
eternal:JJ	অনন্ত
eternal:JJ	চিরন্তন শাশ্বত
eternal:JJ	অমর
acknowledge:VV	স্বীকার করা
unattainable:JJ	পাওয়ার বাইরে
generously:RB	উদারভাবে
unfathomable.mercy:NN	অপার করুণা
gratuitously:NN	বিনামুল্যে
sincere:JJ	আন্তরিক
sins:NNS	পাপ
desperate:NN	বেপরোয়া
gifts:NNS	উপহার
justification:NN	ন্যায্যতা
justification:NN	যথাযথতা
skirmishing:NN	দুই দলের মধ্যে লড়াই
misunderstand:VV	ভুল বোঝা
relaxation:NN	অবকাশ যাপন
promising:JJ	আশাপ্রদ
promising:JJ	অঙ্গীকারপূর্ণ
porn:JJ	অশ্লীল
pleat:NN	পোশাকের ভাঁজ
shell:NP	শেল
rape:NN	ধর্ষণ
draught:NN	ঔষধের মাত্রা
draught:NN	বায়ু-স্রোত
draught:NN	টানা
microorganisms:NNS	জীবাণু
disinfect:VV	জীবাণুমুক্ত করা
salty:JJ	লবণাক্ত
salty.environment:NN	লবণাক্ত পরিবেশ
stratosphere:NN	আন্তর-আকাশ
stratosphere:NN	বায়ুমণ্ডলের স্তরবিশেষ
umpire:NN	আম্পায়ার
umpire:NN	সালিসি
farm:NN	গোলাবাড়ি
farm:NN	খামার
fluid:NN	তরল
contract:NN	চুক্তি
voyage:NN	সমুদ্রযাত্রা
satiety:NN	পরিতৃপ্তি
humorist:NN	রসিক
salty:JJ	নোনতা
firefly:NN	জোনাকি
mourn:VV	শোকপালন করা
purposes:NNS	উদ্দ্যেশ্য
owners:NNS	স্বত্তাধীকারী
position:VVP	জায়গা নেওয়া
infatuation:NN	মোহ
rich:NN	ধনী
ostentation:NN	জাঁকজমক
soil:VV	ময়লা করা
lower:RBR	নিম্নতর
registrar:NN	রেজিস্ট্রার
fancy:JJ	অভিনব
banned:JJ	নিষিদ্ধ
carried:VVD	বহন করা
Masum:NN	মাসুম
remand:NN	জিজ্ঞাসাবাদের জন্য হাজতে রাখা
dewan:NP	দেওয়ান
non-controversial:JJ	অবিতর্কিত
housekeeping:NN	গৃহপরিচর্যা
featured.article:NN	নির্বাচিত নিবন্ধ
arrested:JJ	আটককৃত
non-existent:JJ	অবিদ্যমান
bail:NN	জামিন
featured:JJ	নির্বাচিত
optimistic:JJ	আশাবাদী
learned:JJ	বিজ্ঞ
outface:VV	সামনা সামনি হওয়া
memo:NN	রসিদ
memo:NN	মেমো
outface:VV	মুখোমুখি হওয়া
different:JJ	বিভিন্ন
non-commercial:JJ	অ-বানিজ্যিক
non-free:NN	মুক্ত নয় এমন
cost:NN	মূল্য
redistribute:VV	পুনর্বিতরণ করা
goal:NN	উদ্দেশ্য
non-commercial.use:NN	অ-বানিজ্যিক ব্যবহার
free.content:NN	মুক্ত উপাদান
article:NN	নিবন্ধ
jellyfish:NN	জেলিফিশ
bury:VV	সমাহিত করা
capital:NN	রাজধানী
bangladesh.government:NP	বাংলাদেশ সরকার
art.division:NP	কলা বিভাগ
flag:NN	পতাকা
central.mosque:NN	কেন্দ্রীয় মসজিদ
travel:NN	ভ্রমণ করা
fairy:NN	পরী
kit:NN	কিট
promotional.photo:NN	প্রচার-উৎসাহবর্ধক ফোটো
photo:NN	ফোটো
historically:RB	ঐতিহাসিকভাবে
promotional.source:NN	প্রচার-উৎসাহবর্ধক  উৎস
promotional:JJ	প্রচার-উৎসাহবর্ধক
press:NN	প্রেস
understanding:NN	বোঝাপড়া
fairy.tale:NN	পরীর গল্প
tale:NN	গল্প
prince:NN	রাজ পুত্র
ogre:NN	রাক্ষস
essay:NN	রচনা
cover:NN	প্রচ্ছদ
music:NN	গান
vase:NN	ফুলদানি
maker:NN	প্রস্তুত কারক
horlicks:NP	হরিলক্স
laptops:NNS	ল্যাপটপ
jackal:NN	শিয়াল
presentation:NN	উপহার
leisure:NN	অবকাশ
shot:NN	গুলি করা
felicitous:JJ	সমৃদ্ধ
such:JJ	এরকম
washable:JJ	ধোওয়া যায় এমন
disappointed:JJ	হতাশ
intentionally:RB	ইচ্ছাকৃত
sustain:VV	সহ্য করা
rough.condition:NN	প্রতিকূল পরিস্থিতি
influenza:NN	ইনফ্লুয়েঞ্জা
flu:NN	ফ্লু
influenzavirus:NP	ইনফ্লুয়েঞ্জা ভাইরাস
swine.flu:NN	সোয়াইন ফ্লু
adaptable:JJ	পরিবর্তন যোগ্য
finding:NN	প্রাপ্তি
abreast:RB	পাশাপাশি
absurdity:NN	অসংগতি
helpful:JJ	সহায়ক
wikimedia.commons:NP	উইকিমিডিয়া কমন্স
soluble:JJ	দ্রবণীয়
effective.article:NN	উৎকৃষ্ট নিবন্ধ
layout:NN	বিন্যাস
precise:JJ	যথাযত
chieftain:NN	দলনেতা
style:NN	রচনাশৈলী
sterility:NN	বন্ধ্য
sterile:JJ	নিঃসন্তান
sterile:JJ	বাঁঝা
linkup:NN	সংযোগ
respectable:NN	সম্মানীয়
muslim.family:NN	মুসলিম পরিবার
fusion:NN	জোড়া লাগানো 
proposed:JJ	প্রস্তাবিত
review:NN	পর্যালোচনা
subversive:JJ	ক্ষতিকর
edits:NNS	সম্পাদনা
further.edits:NNS	আরও সম্পাদনা
stagger:VV	টলিতে  টলিতে চলা
nationality:NN	জাতীয়তা
kotwali.police.station:NP	কোতয়ালী থানা
kotwali:NN	কোতয়ালী
officer-in-charge:NP	ভারপ্রাপ্ত কর্মকর্তা
assume:VV	মেনে নেওয়া
blowing:NN	প্রবাহিত
report:VV	অভিযোগ করা
hydrology:NN	জলবিদ্যা
prevailing:NN	বিরাজমান
monsoons:NNS	মৌসুমি বায়ু
geological.evolution:NN	ভূতাত্ত্বিক বিবর্তন
fossil:NN	জীবাশ্ম
adroitness:NN	দক্ষতা
play:NN	খেলা
alert:NN	সতর্ক
deformed:JJ	বিকৃত
geologic:JJ	ভূতাত্ত্বিক
geologic.periods:NN	ভূতাত্ত্বিক পর্ব
deposit:VV	জমা হওয়া
deposits:NNS	জমা
transmute:VV	রূপান্তরিত হওয়া
mineral:NN	খনিজ পদার্থ
supper:NN	রাতের খাবার
bar.chart:NN	কলাম লেখচিত্র
judges:NNS	বিচারপতি
political.office:NN	রাজনৈতিক দপ্তর
sub-national:JJ	উপ-জাতীয়
first-level:JJ	প্রথম স্তর
office:NN	দপ্তর
political.figures:NNS	রাজনৈতিক ব্যক্তিত্ব
speaking:NN	বলা হয়
citywide:JJ	শহর ব্যাপি
confer:VV	খেতাব প্রদান করা
spouse:NN	স্বামী বা স্ত্রী
uncontroversial.deletion:NN	অবিতর্কিত অপসারণ
md.:NN	মোঃ
humble:JJ	বিনীত
day:NP	দিন
wank:VV	হস্ত মৈথুন
verandah:NN	বারান্দা
mahinee:NP	মাহিনী
mahinee.bazar:NP	মাহিনী বাজার
nangalkoat:NP	নাঙ্গলকোট
comilla:NP	কুমিল্লা
mendis:NP	মেন্ডিস
emotional:JJ	আবেগতাড়িত
post-office:NP	ডাকঘর
administrator:NN	প্রশাসক
intellectually:RB	বুদ্ধিমত
borrow:VV	ধার করা
patients:NNS	রোগী
governess:NN	গৃহশিক্ষিকা
massive:JJ	বিরাট
lapsed:JJ	বাতিল
grinding:NN	চূর্ণ করা
target:NN	লক্ষ্য স্থির করা
worship:VV	উপাসনা করা
agents:NNS	দালাল
condom:NN	কন্ডোম
bhagavan:NP	ভগবান
krishnaism:NP	কৃষ্ণ ধর্ম
avatar:NN	অবতার
drive:VVP	চালনা করা
deity:NN	দেব
dream:VV	স্বপ্ন দেখা
altogether:RB	একবারে
earthly:JJ	সাংসারিক
attention:NN	মনোযোগ
attitude:NN	অঙ্গভঙ্গী
abundance:NN	যথেষ্ট
constrain:VV	বাধ্য করা
backyard:NN	উঠোন
advice:NN	উপদেশ
comfort:NN	আরাম
as:IN	যেহেতু
chicly:RB	সৌনাভ
concept:NN	ধারণা
punch:VVP	ঘুসি মারা
good:JJ	ভাল
puberty:NN	বয়ঃসন্ধি
concern:NN	সম্পর্কিত
cuff:NN	জামার আস্তিনের নিম্নাংশ
cuff:NN	চপেটাঘাত
obese:JJ	মোটা
garments:NNS	পোষাক
pupil:NN	ছাত্র
conflicts:NNS	দ্বন্দ
closer:RB	কাছাকাছি
HSDPA:NN	এইচএসডিপিএ
horseman:NN	অশ্বারোহী
pupil:NN	শিষ্য
landing:NN	অবতরন করা
acquiescence:NN	মৌনসম্মতি
mishap:NN	দুর্ঘটনা
open.university:NN	উন্মুক্ত বিশ্ববিদ্যালয়
open university:NN	উন্মুক্ত বিশ্ববিদ্যালয়
hellfire:NN	দোযখের আগুন
woe:NN	শোক
immune:JJ	অনাক্রম্য
procedures:NNS	পদ্ধতি
wedlock:NN	বিবাহ বন্ধন
visit:NN	সাক্ষাৎকার
how.to:NN	কিভাবে
immune.system:NN	অনাক্রম্য সিস্টেম
islam.khan.chisti:NP	ইসলাম খান চিশতী
driven:JJ	চালিত
recreation:NN	উপভোগ
HDD:NN	হার্ডডিস্ক
later.period:NN	পরবর্তী সময়
alauddin.isfahan:NP	আলাউদ্দিন ইসফাহান
islam.khan:NP	ইসলাম খান
kamarupa:NP	কামরূপ
alauddin:NP	আলাউদ্দিন
fleet:NN	নৌবহর
khwaja:NP	খাজা
later:JJ	পরে
chisti:NP	চিশতী
mirza:NP	মীর্জা
ihtimam.khan:NP	ইহতিমাম খান
professional:NN	পেশাজীবি
malik.ali:NP	মালিক আলি
atheist:NN	নাস্তিক
suitability:NN	উপযোগিতা
khwaja.usman:NP	খাজা ওসমান
battles:NNS	যুদ্ধ
mir.bahr:NP	মীর বাহর
events:NNS	ঘটনা
common.life:NN	সাধারণ জীবন
malik:NP	মালিক
mir:NP	মীর
mirza.nathan:NP	মীর্জা নাথান
acquit:VV	বেকসুর খালাস দেওয়া
conversely:RB	বিপরীতভাবে
mutual:JJ	পারস্পরিক
mutual.respect:NN	পারস্পরিক শ্রদ্ধা
samples:NNS	নমুনা
section:NN	অংশ
apart:RB	পৃথকভাবে
section:NN	ভাগ
argue:VV	তর্ক করা
argue:VV	বাদানুবাদ করা
argue:VV	যুক্তি দেখানো
deactivated:JJ	অচল
box:NN	বাক্স
other:NN	অন্যান্য
efficient:JJ	পারদর্শী
socialist:JJ	সমাজবাদী
house:NN	ঘর
guilty:NN	দোষী
house:NN	আবাস
drone:NN	পুরুষ মৌমাছি
credit:NN	
involve:VVP	জড়ানো
easychair:NN	আরামকেদারা
door:NN	দ্বার
dust:NN	ধুলো
door:NN	কপাট
door:NN	দুয়ার
paintbrush:NN	তুলি
dust:NN	ময়লা
while:NN	যখন
intertwine:VV	একত্রিত হওয়া
dust:NN	আবর্জনা
production:NN	নির্মান
explanations:NNS	ব্যাক্ষ্যা
back.pain:NN	পশ্চাতে ব্যাথা
back:JJ	পিছনে
brainwashing:NN	মগজধোলাই
substantiate:VV	প্রমাণ করা
substantiate:VV	সমর্থন করা
hungry:JJ	ক্ষুধার্ত
bilayet:NP	বিলায়েত
abate:VV	প্রকোপ হ্রাস করা
abatement:NN	কম করা
abatement:NN	হ্রাস
abatement:NN	কমতি
abattoir:NN	সাধারণের কসাইখানা
abbacy:NN	মঠের কর্তার পদ
abba:NN	পরম পিতা
a:DT	ইংরেজী বর্ণমালার আদ্যাক্ষর
abase:VV	হীনপদস্থ করা
abase:VV	অপমানিত করা
abandon:VV	পরিত্যাগ করা
abandon:VV	বর্জন করা
abashment:NN	অপ্রস্তুত ভাব
abaddon:NN	নরক
abash:RB	অপ্রস্তুত করা
abash:RB	লজ্জা দেওয়া
abbess:NN	মঠের কর্তী
abbe:NN	ফরাসী ধর্মযাজক বিশেষ
aback:RB	পশ্চাদ্দিকে
abandoned:VVN	পরিত্যক্ত
abandoned:VVN	দুশ্চরিত্র
abacus:JJ	বলফ্রেম
abacus:JJ	গননা শিক্ষার ফ্রেম বিশেষ
aardvark:NN	দক্ষিণ আফ্রিকার জন্তু বিশেষ
abatis:NN	বাহিরের দিকে প্রসারিত
abaft:NN	জাহাজের পিছনের অর্ধাংশ
abandonment:NN	বর্জন
abandonment:NN	পরিত্যাগ
abbey:NN	মঠ
ability:NN	সামর্থ্য
ability:NN	শক্তি
acknowledge:VVP	প্রাপ্তিস্বীকার করা
acknowledge:VVP	সত্যতা স্বীকার করা
advise:VV	পারামর্শ দেওয়া
advise:VV	নির্দেশ দেওয়া
abide:VV	মেনে চলা
abide:VV	প্রতিক্ষা করা
abide:VV	বাস করা
abrogation:NN	রহিত করা
abrogation:NN	রদ করণ
accelerator:NN	গতিবর্ধক
academy:NN	শিক্ষায়ন
academy:NN	তাত্ত্বিয় শিক্ষা প্রতিষ্ঠান
adrenal:JJ	মুত্র গ্রন্থি সম্বন্ধীয়
aggregate:JJ	একত্রে জড়ো করা
adjacency:NN	নৈকট্য
adjacency:NN	লাগোয়া ভাব
adduce:VV	উদ্বুদ্ধ করা
ago:RB	অতীতে
afraid:JJ	ভীত
abidance:NN	মানিয়া চলা
additional:JJ	বাড়তি
adjudicator:NN	নিষ্পত্তিকারক
advantage:NN	হসুবিধা
advantage:NN	সুযোগ
advocacy:NN	পক্ষ সমর্থন
african:JJ	আফ্রিকার অধিবাসী
agile:FW	চঞ্চল
acclamation:NN	হর্ষধ্বনি
acclamation:NN	প্রশংসাবাদ
admiration:NN	শ্রদ্ধা
admissible:JJ	গ্রহনীয়
aha:NN	ওহো
aha:NN	আহা
access:NN	প্রবেশ
access:NN	প্রবেশাধিকার
accused:VVN	অভিযুক্ত
afire:NN	জ্বলন্ত
accusative:JJ	কর্মকারক
advancement:NN	উন্নয়ন
advancement:NN	অগ্রেগমন
agonize:NN	অত্যাধিক যন্ত্রণা দেওয়া
ablution:NN	পূণ্যস্নান
ablution:NN	আচমন
ablution:NN	সাধারণ স্নান
administer:VV	শাসন করা
accomaniment:NN	আনুষঙ্গিক পদার্থ
accomaniment:NN	গীতির সাথে সংগত বাদ্য
accompany:VV	সহগমন করা
accompany:VV	সঙ্গে থাকা
acceptabillity:NN	গ্রহণ যোগ্যতা
acceptabillity:NN	মনোজ্ঞতা
affinity:NN	ঘনিষ্ট সম্পর্ক
addle:NN	পঁচা
addle:NN	ঘোলা পড়া
abiding:JJ	মানিয়া চলে এমন
abiding:JJ	স্থায়ী
ack-ack:JJ	বিমানবিধ্বংসী কামান
agnosticism:NN	অজ্ঞাবাদ
affracy:NN	তুমুল কলহ
abdicate:VVP	অধিকার ত্যাগ করা
abdicate:VVP	ক্ষমতা ত্যাগ করা
abdicate:VVP	পদত্যাগ করা
accrur:NN	স্বাভাবিক ভাবে উৎপন্ন হওয়া
affirmation:NN	শপথ করে চলা
act:NN	ভান করা
abduction:NN	অপহরণ
agate:NN	অতি কঠিন পাথর
agate:NN	মূল্যবান পাথর
abscess:NN	ফোড়া
abscess:NN	বিস্ফোটক
accept:VV	সম্মত হওয়া
accept:VV	স্বীকার করা
adjudge:VV	মীমাংসা করা
afore:RB	অগ্রে
abettor:NN	দুষ্কর্মে সাহয্যকারী
affectionate:NN	স্নেহশীল
acquiescence:NN	মৌন সম্মতি
aggression:NN	চড়াও হয়ে আক্রমণ
addendum:NN	অভিযোজ্য বস্তু
aerolite:NN	উল্কা পিন্ড
agnostic:NN	অঞ্জেয়বাদী
absurd:JJ	অসংগত
absurd:JJ	উদভট
absurd:JJ	হাস্যকর
acclaim:NN	উচ্চৈঃস্বরে প্রশংসা করা
absenteeism:NN	নিজ গৃহ হতে প্রায় বাহিরে থাকার স্বভাব
acerbity:NN	অম্লতা
acerbity:NN	রূঢ়তা
acerbity:NN	তিক্ততা
abstain:VV	মদ্যপান না করা
accustom:NN	অভ্যস্ত করা
ahead:RB	সম্মুখে
absconder:NN	ফেরারী আসামী
adjustable:JJ	নিয়ন্ত্রন যোগ্য
academician:NN	অ্যাকাডেমির সদস্য
acme:NN	সর্বোচ্চ সীমা
acme:NN	চুড়া
acme:NN	চরম উন্নতি
acclivity:NN	পাহাড়ের ক্রমোন্নত ভূমিভাগ
acclivity:NN	চড়াই
activity:NN	সক্রিয়তা
activity:NN	কর্মতৎপরতা
absent:JJ	গর হাজির
adit:NN	প্রবেশ পথ
adit:NN	সুড়ঙ্গ
acoustic:JJ	শ্রবণশক্তি সম্বন্ধীয়
acoustic:JJ	ধ্বনি সম্বন্ধীয়
acquainted:JJ	পরিচিত
acquainted:JJ	অবগত
acre:NN	৪৮৪০ বর্গগজ পরিমিত স্থান
action:NN	কার্য
action:NN	ক্রিয়াফল
abnegate:VV	ত্যাগ স্বীকার করা
accucheur:NN	যে পুরুষ প্রসবের কার্যে ধাত্রীকে সাহায্য করে
adamantine:NN	ইচ্ছা শক্তিতে শক্তিশালী
adamantine:NN	চরিত্রে অত্যন্ত শক্তিশালী
acting:VVG	কার্য সম্পাদান
adulterate:VV	অপমিশ্রণ করা
aberration:NN	সত্যপথ হতে স্খলন
abode:NN	বাসস্থান
abode:NN	আবাস
abode:NN	গৃহ
adrenalin:NN	প্রাণী দেহস্থরস বিশেষ
affectation:NN	ভন্ডামি
agony:NN	যন্ত্রনা
agony:NN	শারীরিক যন্ত্রনা
agony:NN	মানসিক যন্ত্রনা
adulteration:NN	অপমিশ্রণ করণ
advisable:JJ	যুক্তি সংগত
advisable:JJ	বিধেয়
advisable:JJ	গ্রাহ্য
afforest:NN	অরন্যে পরিনত করা
abstention:NN	নিবৃত্ত
abstention:NN	সংযম
abyss:NN	অতল গহ্বর
abyss:NN	সুগভীর হতাশা
abet:RB	অসৎ কার্যে সাহায্য করা
adamant:JJ	অত্যন্ত কঠিন বস্তু
adamant:JJ	জেদী
affidavit:NN	হলফনামা
agriculturist:NN	কৃষি বিদ্যায় নিপুন ব্যক্তি
actuate:VV	কার্যে প্রবিত্ত করা
actuate:VV	প্রণোদিত করা
abdication:NN	পরিত্যাগ
aggradize:NN	ক্ষমতা বৃদ্ধি করা
aggradize:NN	সম্পদ বৃদ্ধি করা
abutment:NN	সেতুর পিল পা
adonish:JJ	সুন্দর যুবক
adonish:JJ	ফোতো বাবু
advalorem:NN	মূল্যায়নুপাতে
adroit:JJ	নিপুন
adroit:JJ	দক্ষ
addle-brained:JJ	নিবোর্ধ
addle-brained:JJ	জড় বুদ্ধি
accommodate:VV	থাকার জায়গা করে দেওয়া
accommodate:VV	মানিয়া নেওয়া
agronomy:NN	কৃষি কলা
afterwards:RB	পরবর্তীকালে
abundant:JJ	অধিক
abundant:JJ	প্রচুর
abusive:JJ	নিন্দাময়
abusive:JJ	গালাগালি পূর্ণ
actuary:NN	বিমা সম্বন্ধীয় দক্ষ ব্যক্তি
adventitious:JJ	আকস্মিক
adventitious:JJ	বাইরের
adventitious:JJ	অস্থানিক
ahoy:NN	ওহে শোন
ahoy:NN	নাবিকদের মধ্যে পরস্পরকে ডাকিবার রীতি
abound:VVP	সংখ্যায় যথেষ্ট
abound:VVP	পরিমানে যথেষ্ট হওয়া
adam:RB	আদম
adam:RB	প্রথম মনুষ্য
aftertought:NN	কাজ হয়ে যাবার পরে যে চিন্তা মনে আসে
agreement:NN	চুক্তি
absolute:JJ	সম্পূর্ন
absolute:JJ	বিশুদ্ধ
absolute:JJ	শর্তহীন
adolescence:NN	কৈশোর
again:RB	আবার
again:RB	বারংবার
acridity:NN	তিক্ততা
acridity:NN	কটুতা
abhor:VV	ঘৃণা সহকারে পরিহার করা
acroboat:NN	দড়বাজিকর
affix:NN	প্রত্যয়
adequate:JJ	পর্যাপ্ত
adequate:JJ	প্রচুর
affranchiac:NN	দাসত্ব
affranchiac:NN	দাসত্ব হতে মুক্ত করা
adverbial:JJ	ক্রিয়া বিশেষণ সম্বন্ধনীয়
adaptabilitiy:NN	উপযোগীতা
accretion:NN	বাহির হইতে যুক্ত হইয়া বৃদ্ধি
accretion:NN	পরিবৃদ্ধি
add:VV	যোগকরা
add:VV	একত্র করা
above-mentioned:JJ	পূর্বোল্লিখিত
abdoman:NN	উদর
abdoman:NN	তলপেট
accommodating:VVG	মানিয়া নিতে পারে এমন
adieu:FW	বিদায়
adieu:FW	বিদায় সম্ভাষণ
adder:NN	ইউরোপের এক ধরণের ছোট বিষ ধর সাপ
absorbent:JJ	শুষে নিতে পারে এমন
absorbent:JJ	শোষক পদার্থ
abort:VV	গর্ভস্রাব হওয়া
abort:VV	ত্যাগ করা
acidify:VV	অম্ল করা
admire:VV	শ্রদ্ধা করা
adultery:NN	ব্যভিচার
admonishment:NN	সতর্কী করণ
admonishment:NN	তিরষ্কার
admonishment:NN	উপদেশ
admiral:NN	নৌ বহরের অধ্যক্ষ
abolionist:NN	কোন কিছু উচ্ছেদ করার সমর্থক
acreage:NN	কোন এক খন্ড জমিতে একরের সংখ্যা
adversity:NN	প্রতিকূল অবস্থা
acute:JJ	তীব্র
acute:JJ	সংকট জনক
aerate:VV	বাতাস প্রবেশ করানো
aggravation:NN	বৃদ্ধি
abusiveness:NN	কটুভাষিতা
accursed:VVN	অভিশপ্ত
accursed:VVN	ঘৃণ্য
adjudicate:VV	রায় দেওয়া
abstersion:NN	পরিষ্কারকরণ
abstersion:NN	মুছিয়া ফেলা
academic:JJ	কলেজ বা বিশ্ববিদ্যালয়ের ছাত্র
accomplishment:NN	সম্পাদন
accomplishment:NN	সম্পাদিত কার্য
afforestation:NN	বনীকরণ
afforestation:NN	বন সম্পদ বৃদ্ধি করা
acorn:NN	ওক বৃক্ষের ফল
acquiesce:VV	নীরবে সম্মতি দেওয়া
ahem:NN	গলা খাকারি
ace:NN	তাসের টেক্কা
ace:NN	পাশার পোয়া
adage:NN	প্রবাদ
admixture:NN	সংমিশ্রন
able-bodied:JJ	সবলকায়
able-bodied:JJ	বলিষ্ঠ
afloat:NN	জলে ভাসমান
afresh:NN	নতুন করে
absob:NN	শুষিয়া নেওয়া
absob:NN	নিবিষ্ট করা
admission:NN	প্রবেশাধিকার
abysm:NN	অতল গহ্বর
abysm:NN	খাদ
adjourn:VV	অধিবেশন স্থগিত রাখা
aesthetical:JJ	সৌন্দর্য বিজ্ঞান বিষয়ক
affliction:NN	মানসিক ক্লেষ
aground:NN	অগভীর জলের তলায় আবদ্ধ
abstergent:NN	পরিস্কারক
abstergent:NN	পরিষ্কারক পদার্থ
adjudication:NN	বিচারকের রায়
absorbing:VVG	অত্যান্ত চিত্তাকর্ষক
abetment:NN	কুকর্মে সহায়তা বা প্ররোচনা
adjust:VV	নিয়ন্ত্রিত করা
adversary:NN	বিপক্ষ
adversary:NN	প্রতিদ্বন্ধী
adorn:VV	অলংকারে সুশোভিত করা
achievemet:NN	কার্য সম্পাদান
achievemet:NN	অবদান
achievemet:NN	কীর্তি
affluence:NN	প্রাচুর্য
accomplished:VVN	গুণান্বিত
accomplished:VVN	শিক্ষিত
accomplished:VVN	রুচি সম্পন্ন
according:VVG	অনুসারে
afferent:NN	সভ্য
aconite:NN	এক প্রকার বিশাক্ত উদ্ভিদ
adjure:NN	দিব্য দেওয়া
abortive:JJ	ব্যর্থ
abortive:JJ	নিস্ফল
acceptance:NN	গ্রহণ বা স্বীকৃতি
actualise:NN	বাস্তবে পরিনত করা
adore:VVP	পুজা করা
advice:NN	পরামর্শ
afield:NN	ক্ষেত্রের দিকে
abominable:JJ	ঘৃণ্য
abominable:JJ	বীভৎস
abominable:JJ	অত্যন্ত খারাপ
adventure:NN	দুঃসাহসিকতা
adventure:NN	ঝুকি
adulate:VV	হীনভাবে তোষামোদ করা
aid:NN	সাহায্য করা
adipose:NN	চর্বি বিশিষ্ট
aforementioned:JJ	পূর্বকথিত
aegis:NN	আরবণ
